company,description,address,website,email,phone,products
Blustery Bovine,"It all started with visualizing potential.
I’ve always been one to see the good and overlook the bad, whether that be in people or in this case, a foreclosed farm.
“Isn’t it perfect Luke?” I said breathlessly. Choosing to ignore the dead grass, peeling paint, broken fences, half inch of dirt on everything in the house and gigantic mound of tumbleweeds blocking the front door.
When his parents, who have lived in their fair share of rough, ranch houses, came to see it they laughed nervously and said, “If that’s what you want kids, good thing you have a lot of energy!”
But we didn’t care, we had 6 acres of our own!
And Luke has a magic way of making tiny amounts of Nevada water go a long way and the ability to fix or make anything. Soon the grass started to not look so bad!
We started out getting 3 cows to add to our dog.
Then chickens.
Then ducks.
Then sheep.
Then meat chickens.
Then turkeys.
Then a cat.
Then pigs.
Then completely useless peacocks that poop on the porches.
This place was starting to look a bit like a farm.
We loved it all so much, and the meat was so unbelievably good, that we couldn’t just keep it all to ourselves.
So we started a tiny CSA, delivering meat, eggs, produce, and baked goods.
And now we’ve opened a farm store in our garage.
Stay tuned, we’re glad you’re here.
Love,
The Thompsons
Luke, Shannon, Katie, Hannah, Audrey, William, James, and Lucy","960 Washoe Drive Washoe Valley, NV 89704",https://www.blusterybovine.com/,shannon@blusterybovine.com,805-540-4013,"beef, chicken, eggs, lamb, pork, turkey"
Borda Land and Sheep,"The Borda Family has kept the Basque tradition of sheep herding alive in Northern Nevada for more than 100 years. Raymond Borda left the old country in 1912 to herd sheep in the Dayton Valley and started his own sheep business and ranch there in 1921. After first working in other professions, Borda Land and Sheep is now run by third generation family members Joyce Borda Gavin, Angie Borda Page and Ted Borda.  The trio believes it’s important to keep their family’s heritage and tradition alive. Borda Land and Sheep is one of only a few large sheep ranchers still operating in Western Nevada and the only one of Basque heritage.
The family runs about 3,000 Merino/Rambouillet sheep every year and another 3,500 lambs. The wool they produce is considered among the best in the country. The family is also dedicated to providing the best quality meat to American Lamb enthusiasts.
In the springtime, the Borda sheep can often been seen grazing the hillsides of the Sierra Nevada.  Working with local, state and federal agencies, more than 2,000 sheep and lambs graze thousands of acres of land around Carson City and nearby areas to reduce the fire risk.
Lamb lovers can buy Borda lamb at Butcher Boy in Reno. It can also be found on select local restaurant menus.","1422 Ezill Street, Gardnerville, NV 89410",None,None,775-790-0740,"lamb, sheep, wool"
Botanical Bob Farms,"We are a small urban farm located in Overton, Nevada. We provide fresh, local, delicious greens for salads and anything else your imagination can create.","456 Bonelli Ave, Overton, NV 89040",None,Growerbobfarms@gmail.com,303-507-6868,"microgreens, tomatoes"
"Brinkerhoff Ranch, Inc.","Nevada is known for its high quality alfalfa, and Brinkerhoff Ranch has been growing it for more than 60 years. Established in 1953,  Brinkerhoff is a second-generation alfalfa farm growing alfalfa hay and seed.","1050 Rennie Road, Lovelock, NV 89419",None,,775-273-2770,"hay/straw, seeds, wheat"
Brunningwood Homestead,We are a small homestead farm in Northern Nevada currently offering farm fresh eggs. We are building up our little  homestead farm in the high desert of Nevada. We are also raising KuneKune Pigs.,"Silver Springs, NV 89429",None,brunningwood@gmail.com,775-430-5566,eggs
Buffalo Spirit Ranch,"We offer breed stock animals and USDA inspected bison meat in select cuts and in bulk.
We have raised bison on our Native American owned ranch for more than 13 years, first as a part-time business, and now as a full-time family operation. Our long-term goal is to educate people on where our food comes from and how it is raised, and to introduce our meat products back to our native communities to help in the struggle with diabetes that affects Indian reservations. We are expanding our operation to meet the demand for bison meat which is a lean and healthy alternative to other red meats.
Our bison graze on our land during early summer. They are also fed meadow grass hay from the Duck Valley Reservation and mineral supplements to keep them healthy.
You can find our products at Great Basin Community Food Co-op in Reno and Campo Reno restaurant. Look for us at farmers markets in the summer and fall.
Call us or send an email for current prices.","242 Staats Park Rd., Spring Creek, NV 89815",None,buffalospiritranch@yahoo.com,775-934-2466,bison
Bunches and Bunches Flower Farm,"Our flower farm is a two-acre parcel at the base of the Eastern Sierras in beautiful Gardnerville, Nevada. Established in 2019, we offer the largest variety of fresh flowers in the Carson Valley. We provide subscription floral bouquets, custom floral designs, bunches of flowers, farm tours and classes.
There’s a fresh cut flower for everyone. Come find your favorite, today!","794 Rubio Way, Gardnerville, NV 89410",https://bunchesandbunchesflowerfarm.com/,boboop@sbcglobal.net,831-535-2455,"flowers, fresh flowers"
Campie’s Lavender Patch,None,"12390 Shawnee Road, Stagecoach, NV 89429",http://www.campieslavender.com/,campieslavenderpatch@earthlink.net,775-720-2420,"lavender, lavender products, plants"
Carson Valley Meats,"We are a family-owned ranch whose mission is to run an economically, environmentally profitable farm business, provide local food, and support regional agriculture and youth involved in agriculture. We offer beef, chicken, eggs, goat, lamb and pork. Visit our website for more information about our farm boxes.
We are also working to open a meat processing facility in the beautiful Carson Valley at the historic Storke Dairy. Our goal is the meet the needs of local producers by restoring the Storke Dairy to its former glory and engaging in projects that unite the Carson Valley around its agricultural roots. Agriculture is a way of life in Carson Valley and Northern Nevada that has sustained families for decades and provides Nevada with some of the highest quality local meats and products available. It is our mission to make sure we keep the agricultural way of life alive and possible for future generations of ranchers.","876 Centerville Lane, Gardnerville, NV 89460",https://carsonvalleymeats.com/,karin@carsonvalleymeats.com,916-803-1777,"beef, chicken, eggs, goat, lamb, pork"
Carswell’s Garden Goods,"Come visit our small farm stand in Gardnerville where we grow vegetable starts and produce, and decorate your garden with garden decor made or found in Nevada. Enjoy our tasty foods made with some of the farm’s seasonal produce (salsa, zucchini bread, pickled vegetables), and quench your thirst on our home-brewed sweet tea.","Gardnerville, NV 89410",None,Purly-girl@hotmail.com,707-601-4982,"nursery plants, plants"
Churchill Vineyards,"Churchill Vineyards is located on the historic Frey Ranch in Churchill County, Nevada.  At 4,000 feet above sea level, this beautiful county is a high desert region providing cool nights and warm days.  These drastic temperature differences produce intricate flavors and delicate aromas for flavorful, well balanced wines.
Churchill Vineyards is currently the only Nevada winery producing Nevada-grown, produced, and bottled (estate) white wines.  Our limited supply of this unique product appeals to wine collectors and connoisseurs from all over the United States.  Do not miss this unique opportunity to taste premium wines made from Nevada’s first estate vineyard and winery.
Colby Frey, Churchill Vineyards winemaker, is a young fifth-generation Nevada farmer.  Through his knowledge of farming, and from past generations farming the same fertile ground, Colby is succeeding in growing European Vinifera grapes and producing premium wines in Northern Nevada.  He is fortunate to have worked with several experienced winemakers from across the country and has had the opportunity to be featured as a guest speaker at several prominent wine seminars.
For the past ten years, the owners of Churchill Vineyards have been working to identify high-value, alternative crops that consumes less water in an effort to reclaim abandoned farmland in Churchill County.  Your support will help Churchill Vineyards rebuild Nevada’s agriculture industry.
Churchill Vineyards is Nevada’s jewel attempting to create a new viticulture industry by planting fine wine grapes which consume only one-tenth of the water that hay and grain crops consume.  Churchill Vineyards has reclaimed fertile farmland by planting high-value crops which consume less water.  Churchill Vineyards is enhancing Nevada’s economy, providing feed for wildlife, promoting Nevada’s tourism industry, conserving Nevada’s water resources, and sustaining Nevada’s agriculture industry.   We appreciate your support in this effort.","1045 Dodge Lane, Fallon, NV 89406",http://www.churchillvineyards.com/,ashley@churchillvineyards.com,775-423-4000,wine
City Green Gardens,"City Green Gardens is owned and operated by Craig Frezzette along with wife Gail and son Cole. Our farm is USDA Certified Organic. We operate a 15-member CSA and also sell to Reno restaurants that support local organics. We produce a variety of seasonal vegetables and herbs.
We are market gardeners with a focus on unique, gourmet products. Our urban setting has created a sense of community  and instilled a desire in our customers to participate in the local-grown food movement. We are thrilled to offer our community food with a face and taste!","2155 Carter Drive, Reno, NV 89509",None,cgc5796@charter.net,775-322-0724,"arugula, asparagus, beets, broccoli, cabbage, carrots, cucumbers, fresh herbs, garlic, green beans, kale, lettuce, onions, peas, peppers, potatoes, radish, summer squash, swiss chard, tomatoes, turnips"
Cluck It Farm,"Welcome to our urban farm in Las Vegas where we offer sustainably-grown produce and free range chicken eggs. We grow year round for the Las Vegas community. Many of our chickens are heritage and rare breeds.
We offer online ordering for pick-up at our farm. Visit our website for details.",Las Vegas NV 89130,http://www.cluckitfarmlv.com/,Amandayeckel.sfg@yahoo.com,702-812-5551,"arugula, beets, brussels sprouts, carrots, cucumbers, edible flowers, eggplant, eggs, flowers, fresh flowers, fresh herbs, green beans, herbs, hot peppers, kale, kohlrabi, lettuce, micro-greens, microgreens"
Colorscapes Greenhouse and Nursery,"We are a local retail grower specializing in garden and landscape plants for Eastern Nevada. We offer plants, trees and shrubs that are grown in and for our area. We educate and guide our customers to create a landscape they can be proud of. Flowers truly make people happy.","194 Two Bottle Bar Lane, Spring Creek, NV 89815",http://colorscapesgreenhouse.com/,mollyapopp@gmail.com,775-753-5000,nursery plants
Corley Ranch,"Nestled in the beautiful Carson Valley, the historic Corley Ranch is a full working ranch complete with an event center that will accommodate 25 to 500 people and also a brand new indoor arena. We are open for events year-round including our pumpkin patch and harvest festival every October.
This fabulous ranch spreads over nearly 300 acres of lush pasture for all to bask in the sunshine below the scenic Sierra Nevada Mountains, including the majestic Job’s Peak.  The majestic Sierra Nevada Mountains jet up over 10,000 ft. in front of us.
Come to our ranch for that special occasion and real-time ranch feeling.","859 Hwy 395 South, Gardnerville, NV 89410",http://www.corleyranch.com/,info@corleyranch.com,775-790-1705,"beef, corn, gourds, hay/straw, pumpkins, sweet corn, winter squash"
Cottonwood Creek Family Farm,"Specializing in free-range chicken and duck eggs, goslings/geese. We have given our beautiful birds five acres (out of 55) to roam on during the day with their roosters/drake/gander. They are fed fermented organic food in the morning, and then spend the day foraging for insects and grass. In order to protect our flock, our birds sleep in our protected barn at night. Each and every bird has a name and personality of their own! We are caretakers of these beautiful creatures and get to enjoy their eggs in return.
Coming soon: unpasteurized honey, goat milk products and Alpine dairy goat kids. Jams, jellies, and other canned yummies!
Future additions – pork, piglets, beef.","3355 Basque Oven Rd., Reno, NV 89510",https://cottonwood-creek-family-farm.business.site/,Smithfamilyfarm2002@gmail.com,775-391-0291,"cheese, eggs, goat, honey"
CountryLiving FRESH,"Welcome to CountryLivingFRESH. We are your neighborhood small farm. We have milk-fed pork, also fed local dairy hay. Ready for butcher, when available, whole, half, roaster pigs or weaners. WE also have USDA-inspected ground pork and 1/4, 1/2 or whole hog orders, grass-fed Jersey Angus Charolais beef and chicken eggs.
You are welcome to come visit!","1113 Centerville Ln, Gardnerville, NV 89410",https://countrylivingfresh.com/,countrylivingranch@gmail.com,775-351-7000,"beef, eggs, pork"
Custom Gardens Organic Farm,"Custom Gardens is a farm of many firsts. We have been in operation since 1988, Nevada’s first certified organic farm, one of the first farms to construct hoop houses and use season extension practices, and we also have the distinction of being the “original home of Nevada-Hawaiian Ginger Root”.
We sell what we grow via direct sales to individuals, families and area retailers. We also have a working member CSA (aka) food-for-work program, where our volunteers earn a weekly share of what we produce, in exchange for up to five hours of volunteering each week.
Our specialty in addition to A-Z produce is Nevada-Hawaiian Ginger, harvested to order, between September though Thanksgiving. The tropical plant is grown with tender care in our hoop houses.
Always a pioneer, we are now growing hemp,  and we are CBD hemp producers with the Nevada Department of Agriculture.
We sell direct at the farm, by pre-order appointment only. You are welcome to call to find out what is available seasonally.","3701 Elm Street, Silver Springs, NV 89429",http:,customgardens@att.net,775-577-2069,"apples, artichoke, arugula, asparagus, basil, beets, blackberries, broccoli, brussels sprouts, cabbage, cantaloupe, carrots, chinese greens, corn, cucumbers, dill, edible flowers, eggplant, fresh herbs, garlic, ginger, grapes, green beans, green onions, hemp, hot peppers, kale, kohlrabi, leeks, lettuce, melons, nectarines, onions, peanuts, peas, peppers, potatoes, pumpkins, radish, raspberries, salad greens, salad mix, seeds, spinach, strawberries, summer squash, sweet corn, sweet peppers, sweet potato, swiss chard, tomatoes, turmeric, turnips, watermelon, winter squash, zucchini"
Dayton Valley Turf,"Dayton Valley Turf is owned and operated by the Yamamoto family who has been farming in Nevada  for more than 50 years. We pride ourselves in providing high-quality turf and turf-products for any and all turf and lawn needs.
Because of our knowledge gained through experience, we were able to cultivate our signature Emerald Blue Turf, a resilient, drought tolerant blend that thrives in Nevada’s challenging climate.
We also believe that promoting a healthy outdoor environment extends beyond our ability to cultivate a high quality product designed to thrive locally. And so we provide an excellent range of products to enrich and energize soil, encourage robust plant growth, address problem areas and maintain a thriving ecosystem.  All offered with expert advice supported by generations of experience.
At Dayton Valley Turf, we are dedicated to enriching your natural environment.","290 Kietzke Lane, Reno, NV 89502",http://www.daytonvalleyturf.com/,info@daytonvalleyturf.com,775-337-2992,turf
Deeply Rooted Farms,"Here at Deeply Rooted Farms, we choose to see the beauty that surrounds us. We are a full-time operating farm where we value sustainability. Our primary aim is to build relationships with our community & inspire others through the lush lavender fields and our farm life.","58 Bowman Lane, Yerington, NV. 89447",https://deeplyrootedlavender.com/,deeplyrootedfarmsnv@gmail.com,775-684-9513,"lavender, lavender products"
Desert Farming Initiative at UNR,"The Desert Farming Initiative (DFI) is a collaboration between the University of Nevada, Reno College of Business, College of Agriculture, Biotechnology, and Natural Resources, University of Nevada Cooperative Extension and community groups. Located in an urban setting just outside the UNR campus, the DFI is composed of heated greenhouses and hoop houses. The project addresses agricultural entrepreneurship, knowledge and training needs of both students and community farmers.
The DFI works towards three goals:
* Education: Provide resources for hands-on experiences and educational programming in sustainable farming systems for desert climates.
* Research: Develop research opportunities and collaborate with faculty, students and industry to discover new production methods and improve agricultural practices.
* Outreach: Demonstrate to stakeholders working agricultural systems that address the challenges of both economic and environmental sustainability.
The produce grown by the DFI is sold at their farmstand in the summer, to the University of Nevada, Reno Dining Services and to local distributors for inclusion in meals sold to students, staff and the community.","920 Valley Rd., Reno, NV 89512",https://naes.unr.edu/dfi/default.aspx,cschembre@unr.edu,None,"arugula, beets, cantaloupe, carrots, cucumbers, fresh herbs, hot peppers, kale, lettuce, melons, peppers, spinach, summer squash, tomatoes, zucchini"
Desert Moon Mushrooms,"We believe food should be local. Las Vegas deserves it.
SUSTAINABLE – FRESH – LOCAL
We are a curious, dynamic duo growing gourmet and specialty mushrooms in urban Las Vegas. Born and raised here in Las Vegas, we believe that our community deserves healthy, locally-grown food. Living a vegan lifestyle, combined with our backgrounds in culinary arts, sciences, engineering and hydroponics has led us to pursue the art of mushroom cultivation in our desert environment. We are excited to continuously find innovative and sustainable ways to supply our city with a wide variety of rare high-quality mushrooms.","215 E. Reno Ave #15, Las Vegas, NV 89119",https://desertmoonfarms.com/,admin@desertmoonfarms.com,702-575-5738,mushrooms
Desert Oasis Teff & Grain,"John Getto and David Eckert began growing teff more than a decade ago as part of a research experiment to develop high-value, drought-resistant grains. Today, they have become one of the largest teff growers in the United States, and their operation includes harvesting, cleaning and milling the grain for retail sales.
They grow ivory and brown teff and sorghum.  Whole grain flour and whole grains are available for retail sale in one- and 25- pound bags. Visit their website for details.","1200 Lovelock Hwy, Fallon NV 89406",https://desertoasisteff.com/,doteff@cccomm.net,775-423-8333 or 775-427-0323,"sorghum, teff"
Desert Stream Farm,Good clean veggies with lots more coming!,"Gardnerville, NV 89410",https://www.desertstreamfarm.com/,jay@desertstreamfarm.com,775-781-8106,"arugula, asparagus, basil, beans, beets, eggs, herbs, kale, salad greens"
Desert Urban Homesteading,We are a small urban homestead that strives to produce quality food for our community.  We use sustainable farming practices to provide our customers with high quality food.,"4258 Larkwood Ave, Las Vegas, NV 89103",http://duhlv.com/,Duhlvnv@gmail.com,702-290-3123,"artichoke, arugula, asparagus, basil, beets, broccoli, brussels sprouts, cabbage, carrots, cauliflower, celery, collards, cucumbers, dill, eggplant, fennel, garlic, green beans, green onions, hot peppers, kale, kohlrabi, leeks, lettuce, okra, onions, parsnips, peas, potatoes, pumpkins, radish, salad greens, salad mix, shallots, spinach, summer squash, sunchokes, sweet peppers, sweet potato"
Dexter Farms,"Welcome to our farm in Fallon, the Oasis of Nevada agriculture. In addition to grains, we have a market garden growing fruit, vegetables and the world’s best cantaloupe.","13377 Carson Highway, Fallon, NV 89406",None,dexterfarms@hotmail.com,775-741-6011,"alfalfa, apples, arugula, asparagus, basil, beets, cantaloupe, corn, eggplant, garlic, green beans, hot peppers, melons, peppers, radish, sorghum, summer squash, sweet peppers, tomatoes, watermelon, winter squash"
